,coefficient
mom_5,0.05852890605395465
ma_5,0.00014528998698437351
ma_10,-0.005576591435345909
finbert_mean,-0.00834739441075423
RSI_14,-0.03256548807461428
vol_5,-0.06652637173423442
ret_1d,-0.15993202968260145
